School URN,School Name,Region,Local Authority,Phase of Education,School Type
148904,St Matthew's Church of England Primary Academy,North West,Lancashire,Primary,Academy converter
148851,The Mandeville School,South East,Buckinghamshire,Secondary,Academy converter
137309,The King David High School,North West,Manchester,Secondary,Academy converter
105103,The Mosslands School,North West,Wirral,Secondary,Community school
139675,Unity Academy Blackpool,North West,Blackpool,Secondary,Academy sponsor led
149096,Ivingswood Academy,South East,Buckinghamshire,Primary,Academy sponsor led
149116,Manor Farm Junior School,South East,Buckinghamshire,Primary,Academy sponsor led
147626,Whaley Thorns Primary School,East Midlands,Derbyshire,Primary,Academy converter
149363,Carleton Endowed CofE Primary School,Yorkshire and the Humber,North Yorkshire,Primary,Academy sponsor led
149396,Peak Academy,South West,Gloucestershire,Special school,Academy special sponsor led
136871,North Kesteven Academy,East Midlands,Lincolnshire,Secondary,Academy converter
137640,Rawlins,East Midlands,Leicestershire,Secondary,Academy converter
136217,Skegness Academy,East Midlands,Lincolnshire,Secondary,Academy sponsor led
137763,The Brunts Academy,East Midlands,Nottinghamshire,Secondary,Academy converter
138478,The Castle Rock School,East Midlands,Leicestershire,Secondary,Academy converter
136716,The Long Eaton School,East Midlands,Derbyshire,Secondary,Academy converter
138079,The Roundhill Academy,East Midlands,Leicestershire,Secondary,Academy converter
145051,Queen Katharine academy,East of England,Peterborough,Secondary,Academy sponsor led
117456,St Nicholas  Church of primary school and nursey,East of England,Hertfordshire,Primary,Voluntary aided school
117186,Icknield Infant and Nursey,East of England,Hertfordshire,Primary,Community school
144147,Thompson primary school,East of England,Norfolk,Primary,Academy converter
115099,Sheering church of England primary school,East of England,Essex,Primary,Voluntary controlled school
141391,Thomas Middlecott Academy,East Midlands,Lincolnshire,Secondary,Academy sponsor led
147268,University Academy Long Sutton,East Midlands,Lincolnshire,Secondary,Academy sponsor led
141495,Handsworth Grange Community Sports College,Yorkshire and the Humber,Sheffeild,Secondary,Academy converter
126289,Walwayne Court School,South West,Wiltshire,Primary,Community school
135083,Longmeadow Primary School,East of England,Hertfordshire,Primary,Community school
123871,Dulverton Junior School,South West,Somerset,Primary,Community school
138728,The Rawlett School (An Aet Academy),West Midlands,Staffordshire,Secondary,Academy converter
104040,Burman Infant School,West Midlands,Solihull,Primary,Community school
139537,All Saints Interchurch Academy,East of England,Cambridgeshire,Primary,Academy converter
147917,Wild Bank Primary School,North West,Tameside,Primary,Academy converter
138756,William Lovell Church of England Academy,East Midlands,Lincolnshire,Secondary,Academy converter
141291,Leesons Primary School,London,Bromley,Primary,Academy converter
136620,Shire Oak Academy,West Midlands,Walsall,Secondary,Academy converter
146379,Tudor Grange Academy Kingshurst,West Midlands,Solihull,Secondary,Academy sponsor led
141741,Chase High School,East of England,Southend-on-Sea,Secondary,Academy sponsor led
